date,gs,js,sb,is_price,real_is_price
201301,0.0043,0.5411,0.0962,0.021241166,112018000000 
201302,0,0.0465,0,0,108847000000 
201303,0.1694,0.4842,0.2675,0.380453488,165639000000 
201304,0.221,0.4806,0.2308,0.162757521,133143000000 
201305,0.2274,0.5197,0.2832,0.111754315,125529000000 
201306,0.3851,0.4201,0.2902,0.56994106,193924000000 
201307,0.1912,0.4272,0.3829,0.068443363,119064000000 
201308,0.169,0.2813,0.2605,0.102039833,124079000000 
201309,0.232,0.1817,0.0769,0.267627793,148797000000 
201310,0.2837,0.6158,0.4003,0.154834096,131960000000 
201311,0.3371,0.5767,0.2815,0.417501623,171169000000 
201312,0.5287,0.6193,0.3969,0.822786811,231668000000 
201401,0.0971,0.3738,0.1014,0.003277105,109336000000 
201402,0.0508,0.1853,0.1818,0.427641139,172683000000 
201403,0.2031,0.6051,0.4038,0.309036787,154978000000 
201404,0.2649,0.5802,0.4161,0.201481912,138923000000 
201405,0.2312,0.445,0.3794,0.24967026,146116000000 
201406,0.3869,0.4486,0.3252,0.420149308,171564000000 
201407,0.1986,0.5873,0.4266,0.272039904,149456000000 
201408,0.1756,0.1853,0.1049,0.192537248,137588000000 
201409,0.2045,0.2564,0.2535,0.252310565,146511000000 
201410,0.237,0.5019,0.2535,0.283374558,151148000000 
201411,0.2499,0.4521,0.4476,0.314068844,155729000000 
201412,0.4969,0.6763,0.6573,0.567928025,193624000000 
201501,0.0968,0.4192,0.2745,0.114552034,125947000000 
201502,0.075,0,0.2395,0.028130078,113046000000 
201503,0.2084,0.5577,0.5559,0.207954158,139889000000 
201504,0.1985,0.4846,0.4668,0.143654207,130291000000 
201505,0.2078,0.3269,0.3794,0.244175639,145296000000 
201506,0.4243,0.4885,0.5385,0.404016577,169156000000 
201507,0.2208,0.4462,0.5524,0.284844796,151367000000 
201508,0.223,0.2269,0.3392,0.203908416,139285000000 
201509,0.3495,0.4308,0.4003,0.328837865,157934000000 
201510,0.2929,0.6269,0.486,0.284669988,151341000000 
201511,0.3135,0.5385,0.4056,0.24728108,145760000000 
201512,0.6733,0.6269,0.6469,0.502152564,183805000000 
201601,0.1505,0.3962,0.2098,0.114882352,125996000000 
201602,0.1404,0.0731,0.1434,0.052604669,116700000000 
201603,0.3976,0.65,0.5052,0.221137416,141857000000 
201604,0.3299,0.4192,0.4248,0.144650254,130440000000 
201605,0.3677,0.5308,0.479,0.171416039,134435000000 
201606,0.6345,0.6115,0.6538,0.25165821,146413000000 
201607,0.3912,0.5231,0.4353,0.118632414,126556000000 
201608,0.4251,0.3538,0.472,0.167207937,133807000000 
201609,0.468,0.3808,0.3794,0.268739328,148963000000 
201610,0.5008,0.6,0.4668,0.298154398,153354000000 
201611,0.6172,0.7731,0.6171,0.397717249,168216000000 
201612,0.9129,0.8692,0.8706,0.514434043,185639000000 
201701,0.3262,0.4615,0.3846,0.184745462,136425000000 
201702,0.3979,0.3846,0.4283,0.186595842,136701000000 
201703,0.693,0.8538,0.8881,0.285118026,151408000000 
201704,0.5894,0.5885,0.715,0.27855636,150428000000 
201705,0.6035,0.6154,0.8462,0.293932133,152724000000 
201706,0.8147,0.6423,1,0.283576945,151178000000 
201707,0.5885,0.6192,0.7955,0.319956166,156608000000 
201708,0.5766,0.4808,0.6906,0.202468688,139070000000 
201709,0.7492,0.7923,0.7972,0.41946713,171463000000 
201710,0.5513,0.4231,0.4563,0.231631731,143424000000 
201711,0.6994,0.7923,0.7675,0.355691685,161943000000 
201712,1,0.7154,0.979,0.316439715,156083000000 
201801,0.5399,0.6692,0.7622,0.30671869,154632000000 
201802,0.4296,0.1769,0.6189,0.202019266,139003000000 
201803,0.6644,0.7538,0.9423,0.34994603,161085000000 
201804,0.6433,0.6769,0.7727,0.333370966,158611000000 
201805,0.6262,0.7154,0.7587,0.305972246,154521000000 
201806,0.7994,0.7308,0.7133,0.635995946,203785000000 
201807,0.5887,0.7538,0.6171,0.485868289,181375000000 
201808,0.5804,0.6423,0.4983,0.148441919,131006000000 
201809,0.5508,0.5192,0.4056,0.159030353,132586000000 
201810,0.5823,0.9115,0.5699,0.188803313,137031000000 
201811,0.6128,0.8038,0.5402,0.27091993,149288000000 
201812,0.8984,0.7462,0.6731,0.625362398,202197000000 
201901,0.4402,0.6308,0.4353,0.234545237,143859000000 
201902,0.3199,0.0308,0.1311,0.004538614,109525000000 
201903,0.6057,0.65,0.5857,0.156517405,132211000000 
201904,0.565,0.6923,0.6766,0.107307392,124865000000 
201905,0.5866,0.7462,0.5839,0.221346912,141888000000 
201906,0.7677,0.6462,0.5699,0.379505098,165497000000 
201907,0.5077,0.8192,0.5594,0.224988064,142432000000 
201908,0.5055,0.5462,0.458,0.112083348,125578000000 
201909,0.4827,0.5885,0.3986,0.295783861,153000000000 
201910,0.5471,0.8769,0.5402,0.248347541,145919000000 
201911,0.561,0.8577,0.5612,0.390690351,167167000000 
201912,0.9529,1,0.8934,1,258121000000 
202001,0.3808,0.5192,0.3636,0.167414119,133838000000 
202002,0.3924,0.4192,0.3619,0.290761074,152250000000 
202003,0.667,0.9615,0.7832,0.772464656,224156000000 
202004,0.5346,0.4846,0.7063,0.421353989,171744000000 
202005,0.5221,0.3462,0.6521,0.397327605,168158000000 
